start_time,end_time,bus_id,route_name,direction
2025-08-23 19:50:01,2025-08-23 20:06:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 20:06:01,2025-08-23 20:40:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 20:40:01,2025-08-23 20:59:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 20:59:01,2025-08-23 21:25:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 21:25:01,2025-08-23 21:41:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 21:41:01,2025-08-23 22:11:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 22:11:01,2025-08-23 22:26:02,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 22:26:02,2025-08-23 22:48:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 22:48:01,2025-08-23 23:08:02,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 23:08:02,2025-08-23 23:24:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 23:24:01,2025-08-23 23:46:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 23:46:01,2025-08-23 23:59:01,2235,909 Destiny USA,Fairgrounds-bound
2025-08-23 23:59:01,2025-08-24 00:08:01,2235,909 Destiny USA,Destiny USA-bound
2025-08-23 16:07:02,2025-08-23 16:55:02,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 16:55:02,2025-08-23 17:08:01,2238,901 State Fair - Hub,hub-bound
2025-08-23 17:08:01,2025-08-23 17:32:01,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 17:32:01,2025-08-23 17:46:01,2238,901 State Fair - Hub,hub-bound
2025-08-23 17:46:01,2025-08-23 18:13:02,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 18:13:02,2025-08-23 18:27:02,2238,901 State Fair - Hub,hub-bound
2025-08-23 18:27:02,2025-08-23 19:15:01,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 19:15:01,2025-08-23 19:30:01,2238,901 State Fair - Hub,hub-bound
2025-08-23 19:30:01,2025-08-23 19:55:01,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 19:55:01,2025-08-23 20:05:01,2238,901 State Fair - Hub,hub-bound
2025-08-23 20:05:01,2025-08-23 20:32:01,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 20:32:01,2025-08-23 20:48:01,2238,901 State Fair - Hub,hub-bound
2025-08-23 20:48:01,2025-08-23 21:13:01,2238,901 State Fair - Hub,Fairgrounds-bound
2025-08-24 00:49:01,2025-08-24 01:03:01,2238,909 Destiny USA,Destiny USA-bound
2025-08-24 01:03:01,2025-08-24 01:19:01,2238,909 Destiny USA,Fairgrounds-bound
2025-08-22 00:39:02,2025-08-22 00:41:01,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 00:41:01,2025-08-22 00:57:01,2239,909 Destiny USA,Destiny USA-bound
2025-08-22 00:57:01,2025-08-22 01:08:01,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 01:08:01,2025-08-22 01:24:01,2239,909 Destiny USA,Destiny USA-bound
2025-08-22 01:24:01,2025-08-22 01:37:02,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 01:37:02,2025-08-22 01:54:01,2239,909 Destiny USA,Destiny USA-bound
2025-08-22 01:54:01,2025-08-22 02:07:01,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 02:07:01,2025-08-22 02:27:01,2239,909 Destiny USA,Destiny USA-bound
2025-08-22 02:27:01,2025-08-22 02:37:01,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 02:37:01,2025-08-22 02:54:01,2239,909 Destiny USA,Destiny USA-bound
2025-08-22 02:54:01,2025-08-22 03:06:01,2239,909 Destiny USA,Fairgrounds-bound
2025-08-22 03:06:01,2025-08-22 03:52:02,2239,909 Destiny USA,Destiny USA-bound
2025-08-23 17:30:02,2025-08-23 17:55:01,2240,909 Destiny USA,Fairgrounds-bound
2025-08-23 17:55:01,2025-08-23 18:12:01,2240,909 Destiny USA,Destiny USA-bound
2025-08-23 18:12:01,2025-08-23 18:52:01,2240,909 Destiny USA,Fairgrounds-bound
2025-08-23 18:52:01,2025-08-23 19:04:01,2240,909 Destiny USA,Destiny USA-bound
2025-08-23 19:04:01,2025-08-23 19:28:01,2240,909 Destiny USA,Fairgrounds-bound
2025-08-23 19:28:01,2025-08-23 19:42:01,2240,909 Destiny USA,Destiny USA-bound
2025-08-23 19:42:01,2025-08-23 20:14:01,2240,909 Destiny USA,Fairgrounds-bound
2025-08-23 20:14:01,2025-08-23 20:30:01,2240,909 Destiny USA,Destiny USA-bound
2025-08-23 20:30:01,2025-08-23 20:59:01,2240,909 Destiny USA,Fairgrounds-bound
2025-08-31 21:30:01,2025-08-31 21:45:01,2241,909 Destiny USA,Fairgrounds-bound
2025-08-31 21:45:01,2025-08-31 22:15:01,2241,909 Destiny USA,Destiny USA-bound
2025-08-31 22:15:01,2025-08-31 22:41:01,2241,909 Destiny USA,Fairgrounds-bound
2025-08-31 22:41:01,2025-08-31 23:07:01,2241,909 Destiny USA,Destiny USA-bound
2025-08-31 23:07:01,2025-08-31 23:33:01,2241,909 Destiny USA,Fairgrounds-bound
2025-08-31 23:33:01,2025-08-31 23:44:01,2241,909 Destiny USA,Destiny USA-bound
2025-08-31 23:44:01,2025-09-01 00:01:01,2241,909 Destiny USA,Fairgrounds-bound
2025-09-01 00:01:01,2025-09-01 00:19:01,2241,909 Destiny USA,Destiny USA-bound
2025-08-28 22:49:01,2025-08-28 22:57:01,2243,907 Long Branch Park,Fairgrounds-bound
2025-08-28 22:57:01,2025-08-28 23:20:02,2243,907 Long Branch Park,Long Branch Park-bound
2025-08-28 23:20:02,2025-08-28 23:34:01,2243,907 Long Branch Park,Fairgrounds-bound
2025-08-28 23:34:01,2025-08-28 23:53:01,2243,907 Long Branch Park,Long Branch Park-bound
2025-08-28 23:53:01,2025-08-29 00:06:01,2243,907 Long Branch Park,Fairgrounds-bound
2025-08-29 00:06:01,2025-08-29 00:33:01,2243,907 Long Branch Park,Long Branch Park-bound
2025-08-29 00:33:01,2025-08-29 00:46:01,2243,907 Long Branch Park,Fairgrounds-bound
2025-08-29 00:46:01,2025-08-29 01:06:01,2243,907 Long Branch Park,Long Branch Park-bound
2025-08-29 01:06:01,2025-08-29 01:20:01,2243,907 Long Branch Park,Fairgrounds-bound
2025-08-23 20:26:01,2025-08-23 20:41:01,2246,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 20:41:01,2025-08-23 20:56:01,2246,901 State Fair - Hub,hub-bound
2025-08-23 20:56:01,2025-08-23 21:20:01,2246,901 State Fair - Hub,Fairgrounds-bound
