timestamp,route,count
2025-08-28 17:45:02,901 State Fair - Hub,1
2025-08-28 17:45:02,909 Destiny USA,3
2025-08-28 17:45:02,907 Long Branch Park,1
2025-08-28 17:45:02,582 Orange Lot,2
2025-08-28 17:46:01,901 State Fair - Hub,1
2025-08-28 17:46:01,909 Destiny USA,3
2025-08-28 17:46:01,907 Long Branch Park,1
2025-08-28 17:46:01,582 Orange Lot,2
2025-08-28 17:47:01,901 State Fair - Hub,1
2025-08-28 17:47:01,909 Destiny USA,3
2025-08-28 17:47:01,907 Long Branch Park,1
2025-08-28 17:47:01,582 Orange Lot,2
2025-08-28 17:48:02,901 State Fair - Hub,1
2025-08-28 17:48:02,909 Destiny USA,3
2025-08-28 17:48:02,907 Long Branch Park,1
2025-08-28 17:48:02,582 Orange Lot,2
2025-08-28 17:49:01,901 State Fair - Hub,1
2025-08-28 17:49:01,909 Destiny USA,3
2025-08-28 17:49:01,907 Long Branch Park,1
2025-08-28 17:49:01,582 Orange Lot,2
2025-08-28 17:50:01,901 State Fair - Hub,1
2025-08-28 17:50:01,909 Destiny USA,3
2025-08-28 17:50:01,907 Long Branch Park,1
2025-08-28 17:50:01,582 Orange Lot,2
2025-08-28 17:51:01,901 State Fair - Hub,1
2025-08-28 17:51:01,909 Destiny USA,3
2025-08-28 17:51:01,907 Long Branch Park,1
2025-08-28 17:51:01,582 Orange Lot,2
2025-08-28 17:52:02,901 State Fair - Hub,1
2025-08-28 17:52:02,909 Destiny USA,3
2025-08-28 17:52:02,907 Long Branch Park,1
2025-08-28 17:52:02,582 Orange Lot,2
2025-08-28 17:53:01,901 State Fair - Hub,1
2025-08-28 17:53:01,909 Destiny USA,3
2025-08-28 17:53:01,907 Long Branch Park,1
2025-08-28 17:53:01,582 Orange Lot,2
2025-08-28 17:54:01,901 State Fair - Hub,1
2025-08-28 17:54:01,909 Destiny USA,3
2025-08-28 17:54:01,907 Long Branch Park,2
2025-08-28 17:54:01,582 Orange Lot,2
2025-08-28 17:55:01,901 State Fair - Hub,1
2025-08-28 17:55:01,909 Destiny USA,3
2025-08-28 17:55:01,907 Long Branch Park,2
2025-08-28 17:55:01,582 Orange Lot,2
2025-08-28 17:56:01,901 State Fair - Hub,1
2025-08-28 17:56:01,909 Destiny USA,3
2025-08-28 17:56:01,907 Long Branch Park,2
2025-08-28 17:56:01,582 Orange Lot,2
2025-08-28 17:57:01,901 State Fair - Hub,1
2025-08-28 17:57:01,909 Destiny USA,3
2025-08-28 17:57:01,907 Long Branch Park,2
2025-08-28 17:57:01,582 Orange Lot,2
2025-08-28 17:58:01,901 State Fair - Hub,1
2025-08-28 17:58:01,909 Destiny USA,3
2025-08-28 17:58:01,907 Long Branch Park,2
2025-08-28 17:58:01,582 Orange Lot,2
2025-08-28 17:59:01,901 State Fair - Hub,1
2025-08-28 17:59:01,909 Destiny USA,3
2025-08-28 17:59:01,907 Long Branch Park,2
2025-08-28 17:59:01,582 Orange Lot,2
2025-08-28 18:00:01,901 State Fair - Hub,1
2025-08-28 18:00:01,909 Destiny USA,3
2025-08-28 18:00:01,907 Long Branch Park,2
2025-08-28 18:00:01,582 Orange Lot,2
2025-08-28 18:01:02,901 State Fair - Hub,1
2025-08-28 18:01:02,909 Destiny USA,3
2025-08-28 18:01:02,907 Long Branch Park,2
2025-08-28 18:01:02,582 Orange Lot,2
2025-08-28 18:02:02,901 State Fair - Hub,1
2025-08-28 18:02:02,909 Destiny USA,2
2025-08-28 18:02:02,907 Long Branch Park,2
2025-08-28 18:02:02,582 Orange Lot,2
2025-08-28 18:03:01,901 State Fair - Hub,1
2025-08-28 18:03:01,909 Destiny USA,2
2025-08-28 18:03:01,907 Long Branch Park,2
2025-08-28 18:03:01,582 Orange Lot,2
2025-08-28 18:04:01,901 State Fair - Hub,1
2025-08-28 18:04:01,909 Destiny USA,2
2025-08-28 18:04:01,907 Long Branch Park,2
2025-08-28 18:04:01,582 Orange Lot,2
2025-08-28 18:05:01,901 State Fair - Hub,1
2025-08-28 18:05:01,909 Destiny USA,2
2025-08-28 18:05:01,907 Long Branch Park,2
2025-08-28 18:05:01,582 Orange Lot,2
2025-08-28 18:06:01,901 State Fair - Hub,1
2025-08-28 18:06:01,909 Destiny USA,2
2025-08-28 18:06:01,907 Long Branch Park,2
2025-08-28 18:06:01,582 Orange Lot,2
2025-08-28 18:07:01,901 State Fair - Hub,1
2025-08-28 18:07:01,909 Destiny USA,2
2025-08-28 18:07:01,907 Long Branch Park,2
2025-08-28 18:07:01,582 Orange Lot,2
2025-08-28 18:08:02,901 State Fair - Hub,1
2025-08-28 18:08:02,909 Destiny USA,2
2025-08-28 18:08:02,907 Long Branch Park,2
2025-08-28 18:08:02,582 Orange Lot,2
2025-08-28 18:09:01,901 State Fair - Hub,1
2025-08-28 18:09:01,909 Destiny USA,2
2025-08-28 18:09:01,907 Long Branch Park,2
2025-08-28 18:09:01,582 Orange Lot,2
2025-08-28 18:10:01,901 State Fair - Hub,1
2025-08-28 18:10:01,909 Destiny USA,2
2025-08-28 18:10:01,907 Long Branch Park,2
2025-08-28 18:10:01,582 Orange Lot,2
2025-08-28 18:11:01,901 State Fair - Hub,1
2025-08-28 18:11:01,909 Destiny USA,2
2025-08-28 18:11:01,907 Long Branch Park,2
2025-08-28 18:11:01,582 Orange Lot,2
2025-08-28 18:12:01,901 State Fair - Hub,1
2025-08-28 18:12:01,909 Destiny USA,2
2025-08-28 18:12:01,907 Long Branch Park,2
2025-08-28 18:12:01,582 Orange Lot,2
2025-08-28 18:13:01,901 State Fair - Hub,1
2025-08-28 18:13:01,909 Destiny USA,3
2025-08-28 18:13:01,907 Long Branch Park,2
2025-08-28 18:13:01,582 Orange Lot,2
2025-08-28 18:14:01,901 State Fair - Hub,1
2025-08-28 18:14:01,909 Destiny USA,3
2025-08-28 18:14:01,907 Long Branch Park,2
2025-08-28 18:14:01,582 Orange Lot,2
2025-08-28 18:15:02,901 State Fair - Hub,1
2025-08-28 18:15:02,909 Destiny USA,4
2025-08-28 18:15:02,907 Long Branch Park,2
2025-08-28 18:15:02,582 Orange Lot,3
2025-08-28 18:16:01,901 State Fair - Hub,1
2025-08-28 18:16:01,909 Destiny USA,4
2025-08-28 18:16:01,907 Long Branch Park,2
2025-08-28 18:16:01,582 Orange Lot,3
2025-08-28 18:17:01,901 State Fair - Hub,1
2025-08-28 18:17:01,909 Destiny USA,4
2025-08-28 18:17:01,907 Long Branch Park,2
2025-08-28 18:17:01,582 Orange Lot,2
2025-08-28 18:18:01,901 State Fair - Hub,1
2025-08-28 18:18:01,909 Destiny USA,4
2025-08-28 18:18:01,907 Long Branch Park,2
2025-08-28 18:18:01,582 Orange Lot,2
2025-08-28 18:19:01,901 State Fair - Hub,1
2025-08-28 18:19:01,909 Destiny USA,4
2025-08-28 18:19:01,907 Long Branch Park,2
2025-08-28 18:19:01,582 Orange Lot,2
2025-08-28 18:20:02,901 State Fair - Hub,1
2025-08-28 18:20:02,909 Destiny USA,3
2025-08-28 18:20:02,907 Long Branch Park,2
2025-08-28 18:20:02,582 Orange Lot,3
2025-08-28 18:21:01,901 State Fair - Hub,1
2025-08-28 18:21:01,909 Destiny USA,3
2025-08-28 18:21:01,907 Long Branch Park,2
2025-08-28 18:21:01,582 Orange Lot,3
2025-08-28 18:22:01,901 State Fair - Hub,1
2025-08-28 18:22:01,909 Destiny USA,3
2025-08-28 18:22:01,907 Long Branch Park,2
2025-08-28 18:22:01,582 Orange Lot,3
2025-08-28 18:23:01,901 State Fair - Hub,1
2025-08-28 18:23:01,909 Destiny USA,3
2025-08-28 18:23:01,907 Long Branch Park,2
2025-08-28 18:23:01,582 Orange Lot,3
2025-08-28 18:24:01,901 State Fair - Hub,1
2025-08-28 18:24:01,909 Destiny USA,3
2025-08-28 18:24:01,907 Long Branch Park,2
2025-08-28 18:24:01,582 Orange Lot,3
2025-08-28 18:25:01,901 State Fair - Hub,1
2025-08-28 18:25:01,909 Destiny USA,3
2025-08-28 18:25:01,907 Long Branch Park,2
2025-08-28 18:25:01,582 Orange Lot,3
2025-08-28 18:26:01,901 State Fair - Hub,1
2025-08-28 18:26:01,909 Destiny USA,3
2025-08-28 18:26:01,907 Long Branch Park,2
2025-08-28 18:26:01,582 Orange Lot,3
2025-08-28 18:27:02,901 State Fair - Hub,1
2025-08-28 18:27:02,909 Destiny USA,3
2025-08-28 18:27:02,907 Long Branch Park,2
2025-08-28 18:27:02,582 Orange Lot,3
2025-08-28 18:28:01,901 State Fair - Hub,1
2025-08-28 18:28:01,909 Destiny USA,3
2025-08-28 18:28:01,907 Long Branch Park,2
2025-08-28 18:28:01,582 Orange Lot,3
2025-08-28 18:29:01,901 State Fair - Hub,1
2025-08-28 18:29:01,909 Destiny USA,3
2025-08-28 18:29:01,907 Long Branch Park,2
2025-08-28 18:29:01,582 Orange Lot,2
2025-08-28 18:30:02,901 State Fair - Hub,1
2025-08-28 18:30:02,909 Destiny USA,3
2025-08-28 18:30:02,907 Long Branch Park,2
2025-08-28 18:30:02,582 Orange Lot,2
2025-08-28 18:31:01,901 State Fair - Hub,1
2025-08-28 18:31:01,909 Destiny USA,3
2025-08-28 18:31:01,907 Long Branch Park,2
2025-08-28 18:31:01,582 Orange Lot,2
2025-08-28 18:32:01,901 State Fair - Hub,1
2025-08-28 18:32:01,909 Destiny USA,3
2025-08-28 18:32:01,907 Long Branch Park,2
2025-08-28 18:32:01,582 Orange Lot,2
2025-08-28 18:33:01,901 State Fair - Hub,1
2025-08-28 18:33:01,909 Destiny USA,3
2025-08-28 18:33:01,907 Long Branch Park,2
2025-08-28 18:33:01,582 Orange Lot,2
2025-08-28 18:34:01,901 State Fair - Hub,1
2025-08-28 18:34:01,909 Destiny USA,3
2025-08-28 18:34:01,907 Long Branch Park,2
2025-08-28 18:34:01,582 Orange Lot,2
2025-08-28 18:35:01,901 State Fair - Hub,1
2025-08-28 18:35:01,909 Destiny USA,3
2025-08-28 18:35:01,907 Long Branch Park,2
2025-08-28 18:35:01,582 Orange Lot,2
2025-08-28 18:36:01,901 State Fair - Hub,1
2025-08-28 18:36:01,909 Destiny USA,3
2025-08-28 18:36:01,907 Long Branch Park,2
2025-08-28 18:36:01,582 Orange Lot,2
2025-08-28 18:37:02,901 State Fair - Hub,1
2025-08-28 18:37:02,909 Destiny USA,3
2025-08-28 18:37:02,907 Long Branch Park,2
2025-08-28 18:37:02,582 Orange Lot,2
2025-08-28 18:38:02,901 State Fair - Hub,1
2025-08-28 18:38:02,909 Destiny USA,3
2025-08-28 18:38:02,907 Long Branch Park,2
2025-08-28 18:38:02,582 Orange Lot,2
2025-08-28 18:39:01,901 State Fair - Hub,1
2025-08-28 18:39:01,909 Destiny USA,3
2025-08-28 18:39:01,907 Long Branch Park,2
2025-08-28 18:39:01,582 Orange Lot,2
2025-08-28 18:40:01,901 State Fair - Hub,1
2025-08-28 18:40:01,909 Destiny USA,3
2025-08-28 18:40:01,907 Long Branch Park,2
2025-08-28 18:40:01,582 Orange Lot,2
2025-08-28 18:41:01,901 State Fair - Hub,1
2025-08-28 18:41:01,909 Destiny USA,3
2025-08-28 18:41:01,907 Long Branch Park,2
2025-08-28 18:41:01,582 Orange Lot,2
2025-08-28 18:42:01,901 State Fair - Hub,1
2025-08-28 18:42:01,909 Destiny USA,3
2025-08-28 18:42:01,907 Long Branch Park,2
2025-08-28 18:42:01,582 Orange Lot,2
2025-08-28 18:43:01,901 State Fair - Hub,1
2025-08-28 18:43:01,909 Destiny USA,3
