,start_time,end_time,bus_id,route_name,direction
3235,2024-08-21 22:20:01,2024-08-21 22:39:02,1910,907 Long Branch Park,Fairgrounds-bound
4653,2024-08-21 22:21:01,2024-08-21 22:44:01,2242,909 Destiny USA,Fairgrounds-bound
1074,2024-08-21 22:23:01,2024-08-21 22:40:03,1765,901 State Fair - Hub,Fairgrounds-bound
1498,2024-08-21 22:28:03,2024-08-21 22:48:03,1771,909 Destiny USA,Fairgrounds-bound
1977,2024-08-21 22:29:01,2024-08-21 22:42:02,1778,901 State Fair - Hub,hub-bound
3828,2024-08-21 22:29:01,2024-08-21 22:40:03,2230,909 Destiny USA,Destiny USA-bound
2059,2024-08-21 22:34:01,2024-08-21 22:56:01,1780,907 Long Branch Park,Fairgrounds-bound
3236,2024-08-21 22:39:02,2024-08-21 22:51:02,1910,907 Long Branch Park,Long Branch Park-bound
1075,2024-08-21 22:40:03,2024-08-21 22:54:01,1765,901 State Fair - Hub,hub-bound
3829,2024-08-21 22:40:03,2024-08-21 23:04:02,2230,909 Destiny USA,Fairgrounds-bound
1978,2024-08-21 22:42:02,2024-08-21 23:02:02,1778,901 State Fair - Hub,Fairgrounds-bound
4654,2024-08-21 22:44:01,2024-08-21 22:58:01,2242,909 Destiny USA,Destiny USA-bound
4454,2024-08-21 22:45:02,2024-08-21 23:00:03,2240,907 Long Branch Park,Fairgrounds-bound
1499,2024-08-21 22:48:03,2024-08-21 22:59:01,1771,909 Destiny USA,Destiny USA-bound
3237,2024-08-21 22:51:02,2024-08-21 23:01:01,1910,907 Long Branch Park,Fairgrounds-bound
1076,2024-08-21 22:54:01,2024-08-21 23:10:02,1765,901 State Fair - Hub,Fairgrounds-bound
4655,2024-08-21 22:58:01,2024-08-21 23:18:02,2242,909 Destiny USA,Fairgrounds-bound
1500,2024-08-21 22:59:01,2024-08-21 23:27:02,1771,909 Destiny USA,Fairgrounds-bound
4455,2024-08-21 23:00:03,2024-08-21 23:11:01,2240,907 Long Branch Park,Long Branch Park-bound
1979,2024-08-21 23:02:02,2024-08-21 23:13:02,1778,901 State Fair - Hub,hub-bound
3830,2024-08-21 23:04:02,2024-08-21 23:19:01,2230,909 Destiny USA,Destiny USA-bound
3278,2024-08-21 23:04:02,2024-08-21 23:12:02,1913,907 Long Branch Park,Fairgrounds-bound
1077,2024-08-21 23:10:02,2024-08-21 23:24:03,1765,901 State Fair - Hub,hub-bound
4456,2024-08-21 23:11:01,2024-08-21 23:34:02,2240,907 Long Branch Park,Fairgrounds-bound
3279,2024-08-21 23:12:02,2024-08-21 23:33:02,1913,907 Long Branch Park,Long Branch Park-bound
1980,2024-08-21 23:13:02,2024-08-21 23:31:01,1778,901 State Fair - Hub,Fairgrounds-bound
4656,2024-08-21 23:18:02,2024-08-21 23:28:03,2242,909 Destiny USA,Destiny USA-bound
3831,2024-08-21 23:19:01,2024-08-21 23:36:01,2230,909 Destiny USA,Fairgrounds-bound
1078,2024-08-21 23:24:03,2024-08-21 23:40:02,1765,901 State Fair - Hub,Fairgrounds-bound
1501,2024-08-21 23:27:02,2024-08-21 23:39:02,1771,909 Destiny USA,Destiny USA-bound
4657,2024-08-21 23:28:03,2024-08-21 23:50:03,2242,909 Destiny USA,Fairgrounds-bound
1981,2024-08-21 23:31:01,2024-08-21 23:44:01,1778,901 State Fair - Hub,hub-bound
